tract_id,file_name,length,region,n_gradients,V_mean,T_mean,OPC_mean,DEA_V,DEA_T,DEA_OPC,KACI_V,KACI_T,KACI_OPC,KACI_V_realistic,KACI_T_realistic,KACI_OPC_realistic,Lempel_Ziv_realistic,Permutation_Entropy_realistic
sub-01_preprocessed_dwi.nii.gz_tract_000,sub-01_preprocessed_dwi.nii.gz,95.39392014169457,long,896,0.8060839101256526,0.63332341347882,0.5102438937588347,9.751636058115665,1.7837606187323969,3.2304761438450327,4,4,4,16,1,16,1.0,-4.328085480557855e-10
sub-01_preprocessed_dwi.nii.gz_tract_001,sub-01_preprocessed_dwi.nii.gz,84.19026071939675,long,896,0.7620739885910534,0.6976616769220558,0.5315580958055207,11.641098633226832,2.260578905206072,3.865195247694145,4,4,4,16,16,1,1.0,-4.328085480557855e-10
sub-01_preprocessed_dwi.nii.gz_tract_002,sub-01_preprocessed_dwi.nii.gz,77.17512552629896,long,896,0.8793714615927128,0.4817236664671094,0.4229559224575996,11.210661802784786,5.086878111536289,4.8173377942234055,4,4,4,1,1,16,1.0,-4.328085480557855e-10
sub-01_preprocessed_dwi.nii.gz_tract_003,sub-01_preprocessed_dwi.nii.gz,96.20810776644556,long,896,0.6105663629874543,0.542943032696694,0.3315090233111269,9.942726546617616,3.264543794767817,7.102603641080277,4,4,4,1,16,1,1.0,-4.328085480557855e-10
sub-01_preprocessed_dwi.nii.gz_tract_004,sub-01_preprocessed_dwi.nii.gz,86.30179604156567,long,896,0.7289420846300892,0.7420243867848204,0.5410876571081005,15.791049300219132,1.9001425259372984,7.307381359847709,4,4,4,16,1,1,1.0,-4.328085480557855e-10
sub-01_preprocessed_dwi.nii.gz_tract_005,sub-01_preprocessed_dwi.nii.gz,132.74034804836094,long,896,0.7754428797650935,0.7403141270629641,0.5738576695419841,10.710190219043229,3.851518652544494,7.530083125317729,4,4,4,1,16,16,1.0,-4.328085480557855e-10
sub-01_preprocessed_dwi.nii.gz_tract_006,sub-01_preprocessed_dwi.nii.gz,51.45872132107443,long,896,0.7262412227701731,0.4967779633524129,0.361316680054817,9.016438802125702,2.3768185013131236,3.119351368714992,4,4,4,16,16,1,1.0,-4.328085480557855e-10
sub-01_preprocessed_dwi.nii.gz_tract_007,sub-01_preprocessed_dwi.nii.gz,20.688160865577203,medium,896,0.5522533984992483,0.7698608081150933,0.42522596157753,11.159237864443591,2.4871203209765436,5.091001522996022,4,4,4,1,1,16,1.0,-4.328085480557855e-10
sub-01_preprocessed_dwi.nii.gz_tract_008,sub-01_preprocessed_dwi.nii.gz,107.36852425175638,long,896,0.6865327804784818,0.4848003266306774,0.3329935950597034,9.527668132050009,1.7194716783520452,3.0780644255878076,4,4,4,16,16,1,1.0,-4.328085480557855e-10
sub-01_preprocessed_dwi.nii.gz_tract_009,sub-01_preprocessed_dwi.nii.gz,83.6181798414675,long,896,0.8101042184539855,0.6212975557381162,0.5035450207067954,6.387216911543833,5.269079966903879,4.916086014537015,4,4,4,1,16,1,1.0,-4.328085480557855e-10
sub-01_preprocessed_dwi.nii.gz_tract_010,sub-01_preprocessed_dwi.nii.gz,80.24961059095551,long,896,0.5961379185324862,0.5135315918433215,0.3065025425437181,11.2366917539091,6.572651275069579,14.210232423026184,4,4,4,1,1,16,1.0,-4.328085480557855e-10
sub-01_preprocessed_dwi.nii.gz_tract_011,sub-01_preprocessed_dwi.nii.gz,52.952809179494906,long,896,0.9127495659291048,0.4794926652419297,0.4375907446467019,8.825802009835654,3.0079525263514633,4.356996234292919,4,4,4,16,1,1,1.0,-4.328085480557855e-10
